sample_id,source_name,source_id,type,reason,gt
real_00001_real_supplement__handwriting_01__handwriting_01_p001_handwriting_crop__v4_box_001__part_001,真实手写1,handwriting_01,line,removed_cut_line_keep_full_original,ꇉꄩꇪꀮꀋꁙꇉꉱꐥꌠꑣꇁꃲ
real_00002_real_supplement__handwriting_01__handwriting_01_p001_handwriting_crop__v4_box_001__part_002,真实手写1,handwriting_01,line,removed_cut_line_keep_full_original,ꎺꑌꃱꇌꄄꁁꎿꆈꐥꌠꏮꇁꃲ
real_00003_real_supplement__handwriting_01__handwriting_01_p001_handwriting_crop__v4_box_001__part_003,真实手写1,handwriting_01,line,removed_cut_line_keep_full_original,ꀊꍆꇪꀮꒉꅲꃅꄷꐥꌠꏮꇁꃲ
real_00004_real_supplement__handwriting_02__handwriting_02_p001_handwriting_full_page__v4_box_001__part_001,真实手写2,handwriting_02,line,removed_cut_line_keep_full_original,ꀋꎭꀨ
real_00005_real_supplement__handwriting_02__handwriting_02_p001_handwriting_full_page__v4_box_001__part_005,真实手写2,handwriting_02,line,removed_cut_line_keep_full_original,ꀋꎭꀕ
real_00006_real_supplement__handwriting_02__handwriting_02_p001_handwriting_full_page__v4_box_001__part_006,真实手写2,handwriting_02,line,removed_cut_line_keep_full_original,ꀋꌺꀕ
real_00007_real_supplement__handwriting_02__handwriting_02_p001_handwriting_full_page__v3_box_004__body_line,真实手写2,handwriting_02,line,removed_cut_line_keep_full_original,ꉘꎭꀨꌠꀋꃅ：ꉢꆹꎭꏂ
real_00008_real_supplement__handwriting_02__handwriting_02_p001_handwriting_full_page__v3_box_005__body_line,真实手写2,handwriting_02,line,removed_cut_line_keep_full_original,ꃅꌺꀋꇬ：2025ꃅ9ꆹ6
real_00009_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_004__body_line,真实手写3,handwriting_03,line,replaced_by_user_supplement_copy,ꆏꃀ
real_00010_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_008__body_line,真实手写3,handwriting_03,line,replaced_by_user_supplement_copy,ꁧꒉ
real_00011_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_010__body_line,真实手写3,handwriting_03,line,replaced_by_user_supplement_copy,ꑌꋶ
real_00012_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_012__body_line,真实手写3,handwriting_03,line,replaced_by_user_supplement_copy,ꈍꄮ
real_00013_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_015__header_text_line,真实手写3,handwriting_03,line,removed_single_character_or_user_removed,ꇁ
real_00014_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_016__header_text_line,真实手写3,handwriting_03,line,removed_single_character_or_user_removed,ꉷ
real_00015_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_017__body_line,真实手写3,handwriting_03,line,removed_single_character_or_user_removed,ꃅ
real_00016_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_019__body_line,真实手写3,handwriting_03,line,removed_single_character_or_user_removed,ꎭ
real_00017_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_024__body_line,真实手写3,handwriting_03,line,removed_single_character_or_user_removed,ꉐ
real_00018_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_039__body_line,真实手写3,handwriting_03,line,removed_single_character_or_user_removed,ꃅ
real_00019_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_044__header_text_line,真实手写3,handwriting_03,line,removed_single_character_or_user_removed,ꀿ
real_00021_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_059__body_line,真实手写3,handwriting_03,line,replaced_by_user_supplement_copy,ꃅꃀꊈ
real_00022_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_063__body_line,真实手写3,handwriting_03,line,replaced_by_user_supplement_copy,ꇺꃀꇁ
real_00023_real_supplement__handwriting_03__handwriting_03_p001_handwriting_symbol_table__v3_box_068__body_line,真实手写3,handwriting_03,line,replaced_by_user_supplement_copy,ꋶꌕꆹ
real_00024_real_supplement__real_photo_03__real_photo_03_p001_real_scene_page__v3_box_004__body_line,真实场景照片3,real_photo_03,line,replaced_by_user_supplement_copy,ꎰꆈꆽꃴꀒꐕꐟꈯꀑꐕꐎꀘꈣꅉꉬ
real_00025_real_supplement__real_photo_05__real_photo_05_p001_real_scene_strip__v3_box_002__mixed_cover_line,真实场景照片5,real_photo_05,line,replaced_by_user_supplement_copy,ꒉꌊꏦꆈ
upload_screen_page_001,屏幕页面,upload_screen_page_001,page,replaced_by_user_screen_page_copy,"ꉢꅿꐥꐨꈝꃀꏢꌦꈐꏮ
ꉌꃀꋍꂷꄉꅉꊌꊊꀋꐙꀑ
ꑭꁗꀒꁧꉜꄉꄔꄸꑌ
ꐰꇐꊂꈹꇁꄏꀕꀋꐚ
ꉢꅿꉌꃀꂷꌦꑓꁴꊰꇁꌦꀑ
ꉢꏣꉢꑟꉢꄝꆽꅞꈨꀑ
ꃅꈎꃅꆪꀀꌳꃆꁧꇭꆹꄿꀕꀑ
ꉢꀿꉢꃀꐥꅉꃀꅉꑟꇁꀑꃀꀋ
ꉢꅿꐥꐨꈝꃀꏢꌦꈐꏮ
ꉌꃀꋍꂷꄉꅉꊌꊊꀋꐙꀑ
ꑭꁗꀒꁧꉜꄉꄔꄸꑌ
ꐰꇐꊂꈹꇁꄏꀕꀋꐚ
ꉢꅿꉌꃀꂷꌦꑓꁴꊰꇁꌦꀑ
ꉢꏣꉢꑟꉢꄝꆽꅞꈨꀑ
ꃅꈎꃅꆪꀀꌳꃆꁧꇭꆹꄿꀕꀑ
ꉢꀿꉢꃀꐥꅉꃀꅉꑟꇁꀑꃀꀋ
ꉘ……
ꉌꃀꄡꊰꂷꀋ
ꑓꁴꄡꊰꂷꀋ
ꑌꅐꑌꈌꁏꀑ
ꑌꈌꁏꇁꂰꀑ
ꐰꇐꑌꅉꑌꀋ
ꈐꀑꉆꅉꉆꀋ
ꃰꊿꋬꂻꇁꀑ
ꋬꂻꇁꅉꈭ
ꃰꊿꋬꂻꇁꀑ
ꋬꂻꇁꅉꈭ"
upload_screen_page_002,屏幕页面,upload_screen_page_002,page,replaced_by_user_screen_page_copy,"ꃅꃴꈭꏂꁧꌦꇁꌦꃆꀑꃀꀋ
ꅔꐎꏰꌺꁧꌦꇁꌦꃆꀑꃀꀋ
ꇈꄩꇪꀮꁧꌦꇁꌦꃆꀑꃀꀋ
ꆏꁧꇉꉈꉌꀱꇁꀕꑌꀋꐙ
ꌋꐒꀀꂼꂻꌒꂻꀋꌒꀑꃀꀋ
ꉢꅿꉌꃀꒉꌦꉩꌦꃆꀒꃀꀋ
ꃅꈎꃅꆪꋍꈎꇈꀑꋍꈎꃆ
ꆏꉂꇁꄮꑓꁴꑮꀕꇤꇁꌦꀑ
ꁧ……
ꁧꀋꑳꉎꁧꐙꈨꑌꉘꑎꇖꇁꌦꀒ
ꁧꉐꑘꀕꑌ
ꁧ……
ꁧꀋꑳꐮꐦꐛꈨꑌꍵꈍꁏꇁꌦꀒ
ꁧꉐꑘꀕꑌ
ꌋꐒꀀꂼꂻꌒꂻꀋꌒꀑꃀꀋ
ꉢꅿꉌꃀꒉꌦꉩꌦꃆꀑꃀꀋ
ꃅꈎꃅꆪꋍꈎꇈꀑꋍꈎꃆ
ꆏꉂꇁꄮꑓꁴꑮꀕꇤꇁꌦꀑ
ꁧ……
ꁧꀋꑌꑿꈜꐞꁧꇬꈜꏑꇁꎂꀕꀒ
ꁧꉐꑘꀕꑌ
ꁧꀋꀈꐔꈜꐞꁧꇬꈜꏑꇁꄎꄏꀒ
ꁧꉐꑘꀕꑌ
ꃅ……
ꀋꉂꂰꇬꆏꉂꇁꌦꃰ
ꀋꎺꂰꇬꆏꎺꇁꌦꃰ
ꁧꄩꂚꃨꋍꈎꋍꆪꃨ
ꉢꅿꉂꏣꐥꋊꐥꍂꎵ
ꁧꄩꂚꃨꋍꈎꋍꃢꃨ
ꉢꅿꉂꏣꐥꋊꐥꍂꎵ"
upload_screen_page_003,屏幕页面,upload_screen_page_003,page,replaced_by_user_screen_page_copy,"ꋍꐯꌕꁏꎭꂵꀕꉘꁧꀊꄶꂷ，
ꁧꐙꇂꃴꃪꍻꅔꂷꐛꄸꃀ，
ꋍꏂꀑꑌꀊꂿꀒꑌꀊꄶꋦ，
ꉠꆺꑳꀊꂿꃅꃴꈭꏂꐊꄉꀱꁧꌦꀒ，
ꋍꏯꀱꆏꋍꏯꄚꊂꈹꍈꑍ，
ꉂꇁꑟꅇꈍꇖꌠꉬꑌꀋꐙ，
ꉘꇈꇁꄿꌧꐴꇇꀘꀱꇁꄮ，
ꉠꉌꃀꂷꌠꑖꈈꀕꃅꆏꉂꇁꀑ，
ꋍꐯꌕꁏꎭꂵꀕꉘꁧꀊꄶꂷ，
ꁧꐙꇂꃴꃪꍻꅔꂷꐛꄸꃀ，
ꋍꏂꀑꑌꀊꂿꀒꑌꀊꄶꋦ，
ꉠꆺꑳꀊꂿꃅꃴꈭꏂꐊꄉꀱꁧꌦꀒ，
ꋍꏯꀱꆏꋍꏯꄚꊂꈹꍈꑍ，
ꉂꇁꑟꅇꈍꇖꌠꉬꑌꀋꐙ，
ꉘꇈꇁꄿꌧꐴꇇꀘꀱꇁꄮ，
ꉠꉌꃀꂷꌠꑖꈈꀕꃅꆏꉂꇁꀑ，
ꅿꀊꄶꃰꊿꉂꐪꑟꑌ，
ꋍꏢꀑꑌꀑꒉꏤꅍꍿ，
ꅿꀊꄶꀑꑌꀑꏤꅍꏮ，
ꉂꌠꀑꑌꀋꂓꀊꄂꑌꀋꉬꀑ，
ꅿꀊꄶꀿꄜꄮꆏꀿꉂꇁ，
ꃀꄜꄮꆏꃀꉂꇁꌦꃰ，
ꅿꀊꄶꀑꑌꀑꒉꏤꅍꏮ，
ꉠꇇꀘꊏꌋꉢꄏꂷꌠꉂꇁꌦꀑ，
ꇇꀘꊏꌋꉢꄏꂷꌠ……。"
