source_name,source_code,source_title,publisher,publication_year,source_material,rows,line,region,page,has_digit,digit_chars
根与花,gen_yu_hua,根与花,四川民族出版社,1999,扫描件,121,121,0,0,21,90
勒俄玛牧导读教程,le_e_ma_mu_guide,勒俄玛牧导读教程,民族出版社,2015,扫描件,126,126,0,0,19,19
凉山彝语语法,liangshan_yi_grammar,凉山彝语语法,民族出版社,1987,扫描件,30,30,0,0,27,27
《勒俄特依》译注,luoe_teyi,《勒俄特依》译注,民族出版社,2017,扫描件,45,7,38,0,9,18
凉山彝文资料选译第2集,xuan_yi_2,凉山彝文资料选译（2）：《阿莫尼惹》《玛木特农》,四川民族出版社,1978,扫描件,106,106,0,0,0,0
凉山彝文资料选译第3集,xuan_yi_3,凉山彝文资料选译（3）：《尔比尔吉》,四川民族出版社,1978,扫描件,84,84,0,0,1,1
彝文检字本,yi_dictionary,彝文检字本,四川民族出版社,1984,扫描件,32,32,0,0,3,6
真实手写,handwriting,真实手写样本,,2026,用户采集手写样本,53,7,45,1,1,8
真实照片,real_photo,真实照片样本,,2026,用户拍摄照片,3,2,1,0,0,0
屏幕页面,screen,屏幕页面样本,,2026,用户截屏或屏幕拍摄,3,0,0,3,0,0
