dimension,value,rows,has_digit,no_digit,digit_chars
source_name,《勒俄特依》译注,45,9,36,18
source_name,凉山彝文资料选译第2集,106,0,106,0
source_name,凉山彝文资料选译第3集,84,1,83,1
source_name,凉山彝语语法,30,27,3,27
source_name,勒俄玛牧导读教程,126,19,107,19
source_name,屏幕页面,3,0,3,0
source_name,彝文检字本,32,3,29,6
source_name,根与花,121,21,100,90
source_name,真实手写,53,1,52,8
source_name,真实照片,3,0,3,0
sample_type,line,515,77,438,158
sample_type,page,4,0,4,0
sample_type,region,84,4,80,11
scene,neat_handwriting,53,1,52,8
scene,new_print_pdf,309,70,239,142
scene,old_print_pdf,235,10,225,19
scene,screen_or_scene,6,0,6,0
difficulty,easy,172,22,150,91
difficulty,hard,107,4,103,11
difficulty,medium,324,55,269,67
script_mix,yi,321,30,291,109
script_mix,yi_han,265,51,214,60
script_mix,yi_han_latin,17,0,17,0
