source_name,n,ned,exact,ws_ned,ws_exact,nfkc_ws_ned,nfkc_ws_exact,yi_ned,yi_exact,yi_rows,han_ned,han_exact,han_rows,digit_ned,digit_exact,digit_rows,replacement,latex,ascii_letter,ascii_any,long_pred
勒俄玛牧导读教程,126,0.013146,0.738095,0.006909,0.873016,0.006909,0.873016,0.004508,0.904762,126,0.009765,0.936709,79,0.000000,1.000000,19,0,1,0,14,0
根与花,121,0.044022,0.586777,0.041189,0.595041,0.040080,0.595041,0.040093,0.619835,121,,,0,0.190476,0.809524,21,0,0,0,17,0
凉山彝文资料选译第2集,106,0.020999,0.811321,0.019984,0.820755,0.019984,0.820755,0.031952,0.849057,106,0.009253,0.943182,88,,,0,0,0,0,1,0
凉山彝文资料选译第3集,84,0.024705,0.821429,0.024705,0.821429,0.024705,0.821429,0.035062,0.845238,84,0.036723,0.949153,59,0.000000,1.000000,1,0,0,0,0,0
真实手写,53,0.122708,0.132075,0.130645,0.132075,0.130645,0.132075,0.146203,0.132075,53,1.000000,0.000000,2,1.000000,0.000000,1,0,0,0,46,0
《勒俄特依》译注,45,0.038999,0.822222,0.037765,0.844444,0.035913,0.844444,0.023704,0.911111,45,0.000000,1.000000,6,0.481481,0.444444,9,0,1,0,3,0
彝文检字本,32,0.051645,0.593750,0.045332,0.656250,0.045332,0.656250,0.066582,0.718750,32,0.026316,0.947368,19,0.666667,0.333333,3,0,0,18,19,0
凉山彝语语法,30,0.011360,0.866667,0.009509,0.900000,0.011706,0.900000,0.004762,0.966667,30,0.003448,0.965517,29,0.000000,1.000000,27,0,0,0,0,0
屏幕页面,3,0.029317,0.000000,0.031981,0.000000,0.031387,0.000000,0.033961,0.000000,3,,,0,,,0,0,0,0,3,0
真实照片,3,0.041667,0.666667,0.043478,0.666667,0.043478,0.666667,0.052632,0.666667,3,0.000000,1.000000,1,,,0,0,0,0,1,0
