id,sample_type,source_code,source_name,scene,difficulty,script_mix,has_digit,gt_length_bucket,gt_lines_bucket,ned,ws_ned,nfkc_ws_ned,yi_ned,han_ned,digit_ned,exact,dist,pred_len,label_len,gt_lines,risk_flags,original_id,answer,label
real_screen_photo_page_012_part2,page,xuan_yi_2,凉山彝文资料选译第2集,real_screen_photo,hard,yi_han,False,061-200 chars,2-4 lines,0.942601,0.945045,0.945045,0.358974,0.222222,,False,1051,1115,67,4,"ascii_any,long_pred",real_screen_photo_page_012_part2,"ꅩꌺꉌꃀꐂꀕꍲ，女儿的心怦怦跳：
ꑓꁴꌦꍻꀕ。女儿眼泪盈眶。
ꀉꂿꅩꌺꑠꍈꑌ！可怜啊！妈妈的女儿
，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，哟！
ꁩꇁꏃꑍꊯꌕꐛꇬꆏ，过了七又十三天，ꊁꇁꏃꑍꊯꌕꐛꇬꁲ，过了七又十三天，
ꇔꆍ","ꅩꌺꄅꃀꐂꀕꁏ，女儿的心怦怦跳：
ꑓꁴꌦꍻꀕ。女儿眼泪盈眶。
ꀉꂿꅩꌺꑠꍈꑌ！可怜啊！妈妈的女儿
ꊁꇁꏃꑍꊯꌕꐛꇬꁍ，过了七又十三天，"
liecun_song_yi_cover_page_000001,page,liecun_song_yi,猎村的歌声彝文版,old_print_pdf,medium,other,False,001-020 chars,1 line,0.928571,0.911765,0.911765,0.906250,,,False,39,42,16,1,ascii_any,cover_candidate_007_liecun_song_yi,"ꍧꄯꌰꁜꁨꉧꉧꐈꏂꁚꆼꉺ
！！
ꅔ
ꅐ
ꄝꇤ
ꆫꀵꊃꍀꍰꍯꊁꏾ
ꋅꆂꊖ
ꒉꏴꃚ
ꊉꆂ","ꈌꌋꁡꇤꑵꃚꌒ
ꌧꍧꊿꋅꄯꒉꅏꅉ"
college_yi_language_cover_page_000001,page,college_yi_language,大学彝语文：彝文,new_print_pdf,medium,han,False,021-060 chars,2-4 lines,0.731707,0.743590,0.743590,0.794521,0.000000,,False,60,82,22,2,ascii_any,cover_candidate_004_college_yi_language,"ꒉꌶꅉꆀꉙꂘꇐ
大学彝语文
ꍃꍃꆂꃆꊼꊃꈠꈾꈌꈌꆳꍃꊉꊉꊃꊴꆀꆀꈌꌕꋒꁁꆃꉭꌕꆂꆀꆀꆂꆳ
ꆂꆀꁆꈾꈇꂁꌕꊃꈌꈌꆂꈌꈌꈌꆉꆳꈌꆢꆂꆀꆀꆀꆗꀥꆭꀮꁍꆂ
ꌧꍧꊿꋅꄯꒉꅏꅉ","ꒉꌶꅉꆀꉙꂘꇐ
大学彝语文
ꌧꍧꊿꋅꄯꒉꅏꅉ"
xuan_yi_3_region_new_p088_region_01,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,021-060 chars,2-4 lines,0.729167,0.714286,0.714286,0.333333,0.687500,,False,35,48,38,4,ascii_any,,"ꊰ
ꀉꐚꃮꇬꎷ，
ꃌꅿꄏꇬꎷ。
ꀮꐔꀑꀋꁮ，
ꉾꐔꀑꆂꁭ，
ꉸ
ꐊ
ꉭ
只
顾
叫，
只
顾
。","ꊰ十
ꀉꐚꃮꇬꎷ，乌鸦只顾叫
ꃌꅿꄏꇬꎷ。女人只顾闹
ꀮꐔꀑꀋꁮ，姑娘不开窍"
xuan_yi_3_region_new_p152_region_01,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,021-060 chars,2-4 lines,0.700000,0.659574,0.659574,0.269231,0.500000,,False,35,49,50,4,ascii_any,,"ꊿꄸꊿꏚꀋꏦ，
ꇥꉢꒉꈾꀋꏦ。
ꀠꑭꅑꄉꏬꋚꏾ。
ꀣꐔꉍꄉꏬꋚꄉ。
寝子不怕害羞，
喉头不怕开水。","ꊿꄸꊿꏚꀋꏦ，瘪子不怕害羞，
ꇥꉢꒉꈾꀋꏦ。喉头不怕开水。
ꀠꑭꅑꄉꏬꋚꏾ。长着蛤蟆脚却想雄鹰食。
"
xuan_yi_3_region_new_p116_region_02,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,021-060 chars,2-4 lines,0.690909,0.708333,0.708333,0.100000,0.000000,,False,38,55,51,4,ascii_any,,"ꈆꆏꅗꌠꏦ，
ꋏꆏꌦꌠꏦ。
ꈌꌈꌭꀋꉆ，
ꏲꂿꄡꀋꉆ。
放松怕跑掉，
捏紧怕死掉。
狗恶栏不住，
钟声挡不住。","ꄝꆏꆶꌠꏦ，放松怕跑掉，
ꋏꆏꌦꌠꏦ。捏紧怕死掉。
ꈌꌈꌭꀋꉆ，狗恶栏不住，
ꏲꂿꄡꀋꉆ。钟声挡不住。"
xuan_yi_3_region_new_p088_region_03,region,xuan_yi_3,凉山彝文资料选译第3集,old_print_pdf,medium,yi_han,False,061-200 chars,2-4 lines,0.636364,0.644068,0.644068,0.000000,0.000000,,False,42,66,62,4,ascii_any,,"ꃌꁧꃌꇱꋦ，
ꃌꌧꃌꆗꈔ。
ꃬꉅꌠꋚꀋꉬ，
ꃌꅿꉉꌠꅇꀋꉬ。
愚蠢妇女发家，
狡猾妇女招祸。
鸡拣的食子不成粮，
女人说的话不成话。","ꃌꁧꃌꇱꋦ，愚蠢妇女发家，
ꃌꌧꃌꆗꈔ。狡猾妇女招祸。
ꃬꉅꌠꋚꀋꉬ，鸡拣的食子不成粮，
ꃌꅿꉉꌠꅇꀋꉬ。女人说的话不成话。"
le_e_ma_mu_screen_photo_p033,page,le_e_ma_mu_guide,勒俄玛牧导读教程,real_screen_photo,hard,yi_han,True,201+ chars,13+ lines,0.635449,0.639715,0.639715,0.571429,0.286364,0.500000,False,1011,1591,870,29,ascii_any,,"ꏃꃅꉬꐮꎭ①／ꏃꃅꉬꐮꎭꒉꇬ
ꐧꐛꈲꐛꇁꄾꄿ②／ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌗꀋꑌꋦꇐꐛꄎꀕ
ꐧꐛꆤꐛꇁꂸꄿ③／ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌗꀋꑌꋦꇐꐛꀋꄐ去到那下界，
能否成为动植物？
不能成为动植物。
变成松身愚蠢人，
生来第一代与坐着的人一样高，
到了第二代与站着的人一样高，到了第三代与松树一样高，
ꐈꇁꌿꁧꌺꇰꒆ④／ꊁꆏꐈꌌꌿꁧꌺꇰꑠꂷꐛ到了第四代与山峰一样高，
到了第五代长到天上去了，
ꋍꋏꊿꑌꂦ／ꌿꁧꌺꇰꆏꋍꋏꄮꇬꊿꇫꑌꂷꒊ身子闪悠悠，
行动慢腾腾，
ꑍꋏꊿꉆꂦ／ꑍꋏꄮꇬꆏꊿꇬꉆꑠꂷꒊ走路摇晃，
ꌕꋊꄯꁍꂤ⑤／ꌕꋊꄮꇬꆏꄮꁧꑠꁧꒊ呼吸气奄奄，
ꇖꋊꁦꀑꂦ／ꇖꋊꄮꇬꆏꁦꂷꌋꆀꐯꂤ似死又非死，头上住喜鹊，
ꉬꋊꂿꃅꑟ／ꉬꋊꑟꄮꇬꆏꂿꃅꇬꑟꀐ腰间住蜜蜂，
鼻孔住着蓬间雀，
ꉭꇌꊂꉫꇌ／ꑠꃅꄉꇭꀧꉭꇌꉫꇌꅍ
ꐪꑳꊂꐨꑳ／ꎻꄟꐹꄟꐪꑳꐨꑳꅍ①ꏃꃅꉬꐮꄚ宙ꑫ天的下方，下界：ꏃꃅꈐꏭꂿꃅꐮꄜ，ꋌꆏꐧꇁꃰꊿꀀꅉꐤꅉꇬꄜꌠ。②ꐧ腰间；动物：ꁧꀦꄜꐨꆏ“ꐧꌧ”ꄜ；ꄛꍯꄜꐨꆏ“ꌦꑌꌗꑌꇙꀕ”ꄜꌠ。ꀊꆨꆈꌠꁍꁇꉜꇬ，①ꏃꃅꉬꐮꄚꇊꏁ天的下方，下界：ꏃꃅꈐꏭꂿꃅꐮꄜ，ꋌꆏꐧꇁꃰꊿꀀꅉꐤꅉꇬꄜꌠ。
②ꐧ腰间；动物：ꁧꐍꄜꐨꆏ“ꐧꌧ”ꄜ；ꄣꍯꄜꐨꆏ“ꌦꑌꌗꑌꇙꀕ”，ꄜꌠ。ꀊꆨꆈꌠꁍꁇꉜꇬ，
ꇙꀕꆹꇙꀕꀉꂿꐧꌧꇬꈴꇁꌠ，ꄔꆖꀊꆨꆈꌠꁍꁈꇙꀕꇁꉺꇬꉜꐨꉬ。ꑠꅺꋌꈚꇬ“ꐧ”ꆏꌦꑌꌺꑌꇙꀕꄜ。ꈲ有益；植物：ꁧꐍꄜꐨꆏ“ꈲꏣ”“ꆮꒉꄐ；ꄚꇬꆏꄚꍯꄯ“ꌦꀋꑌꌗꀋꑌꋦꇐ”ꄜꌠ。ꀊꆨꆈꌠꁍꑓꄂꇬ，
ꌦꀋꑷꇙꀋꑌꋦꇐꆹꌦꑌꌗꑌꇙꀕꇬꆪꏣꐥꌠ，ꋋꆹꀉꆨꆈꌠꁍꁍꇱꋍꋏꇖꃏꌀꐨꉬ。ꑠꅺꋌꈚꇬ“ꈲ”ꆏꌦꀋꑌꌗꀋꑉꋦꇐꄜ。ꐧꐛꆤꆧ成为动植物：ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌕꑴꅪꋦꇐꐛ。ꌦꀋꑌꌗꀋꑌꋦꉅꇬꌦꑌꌗꑆꇙꀕꆼꈲꀠꈘꌠ，ꋋꆹꀊꆨꆈꌠꁍꁈꀜꋍꋏꇐꇔꉜꐨꉬ。ꑠꅺꋌꈚꇬ“ꐍ”ꆏꌦꀋꑌꌠꀋꑌꋦꌕꄜ。ꐧꐛꈲꐛ成为动植物；ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌕꑌꋦꇐꐛ。
③ꄚꂴꊉꈨꆏꉬꄚꇳꌅꏾꌦꌺꌊꌺꊩꌺꑠꈨꇤꇛꆳꃅꉬꐮꎭꇬꑌꁍꐛꏃꐛꇁꀋꄐꌠꃆꉻ。
④ꌿꁧꌺꇰ松身愚蠢人；ꉬꆹꌿꁧꉬꇈꐛꆏꊿꌺꇰꂷꃅꐙꑠꂷ。
⑤ꄯꁍ松树：ꄮꁧꄜ。
⑥ꀑꊃ头上：ꀂꄉꇬꄜ。ꐉꀕꐄꆌ：ꀉꍆꄜ
⑦ꌤꌧꁿꏋꎋ：ꉌꊭꊨ，ꇭꊸꀛꊭ，ꋍꃶꋍꃶꃅꐮꐊꐺ，ꃚꋒꌩꀕꑧꀕꃅꈌꐚ。
ꉉꆹꊂꉇꆹ／ꈛꎼꈜꈳꐺꇬꉉꆹꉇꆹꅍꇙꀕꆹꇙꀕꀉꂿꐧꌧꇬꈴꇁꌠ，ꑠꆹꀊꆨꆈꌠꁍꁇꇙꀕꇁꀦꇬꉜꐨꉬ。ꑠꅹꋌꈚꇬ“ꐧ”ꆏꌦꑌꌗꑌꇙꀕꄜ。ꈲ有益；植物：ꁧꀦꄜꐨꆏ“ꈲꏣ”“ꈲꒉ”ꄜ；ꄚꇬꆏꄛꍯꄜꐨ“ꌦꀋꑌꌗꀋꑌꋦꇐ”ꄜꌠ。ꀊꆨꆈꌠꁍꁇꉜꇬ，
ꑐꊂꌔꑐ／ꌗꅐꄟꇬꌖꑐꌔꑐꅍ
④ꌿꁧꌺꇰ松身愚蠢人：ꉬꆹꌿꁧꉬꇈꐛꆏꊿꌺꇰꂷꃅꐙꑠꂷ。ꇵꌦꊂꇳꇙ／ꐛꄟꂶꌟꇵꌦꇶꇙꅍ
ꀑꊃꍆꀕꈌ⑥／ꀂꏾꇬꀊꍆꇫꈌ
ꐧꊃꐛꑿꈌ／ꐧꑭꇬꐛꑿꇫꈌꋍꋒ
ꅳꁖꌤꌧꈌ⑦／ꅳꁖꇬꉌꊭꌤꌧꇫꈌ鼻孔住着蓬间雀，
ꇙꀕꆹꇙꀕꀉꂿꐧꌧꇬꈴꇁꌠ，ꑠꆹꀊꆨꆈꌠꁍꁇꇙꀕꇁꀦꇬꉜꐨꉬ。ꑠꅹꋌꈚꇬ“ꐧ”ꆏꌦꑌꌗꑌꇙꀕꄜ。ꈲ有
益；植物：ꁧꀦꄜꐨꆏ“ꈲꏣ”“ꈲꒉꄜ；ꄚꇬꆏꄛꍯꄜꐨ“ꌦꀋꑌꌗꀋꑌꋦꇐ”ꄜꌠ。ꀊꆨꆈꌠꁍꁈꉜꇬ，
ꌦꀋꑌꌗꀋꑌꋦꇐꆹꌦꑌꌗꑌꇙꀕꇬꈲꏣꐥꌠ，ꋋꆹꀊꆨꆈꌠꁍꁇꐴꅑꋦꇐꇬꉜꐨꉬ。ꑠꅹꋌꈚꇬ“ꈲ”ꆏꌦꀋꑌꌗ
ꀋꑌꋦꇐꄜ。ꐧꐛꈲꐛ成为动植物：ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌗꀋꑌꋦꇐꐛ。
ꀋꑌꋦꇐꄜ。ꐧꐛꈲꐛ成为动植物：ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌗꀋꑌꋦꇐꐛ。
③ꄚꂴꋋꈨꆏꉬꄚꇳꌅꄰꌦꌺꌊꌺꊩꌺꑠꈨꇤꅷꏃꃅꉬꐮꎭꇬꑌꁍꐛꏃꐛꇁꀋꄐꌠꃆꊶ。
④ꌿꁧꌺꇰ松身愚蠢人：ꉬꆹꌿꁧꉬꇈꐛꆏꊿꌺꇰꂷꃅꐙꑠꂷ。
⑤ꄯꁍ松树：ꄮꁧꄜ。
⑥ꀑꊃ头上：ꀂꄉꇬꄜ。ꍆꀕ喜鹊：ꀊꍆꄜ
⑦ꌤꌧ蓬间ꎺ：ꉌꊭꑵ，ꇭꀧꀛꊭ，ꋍꃵꋍꃶꃅꐮꐊꐺ，ꃚꋒꌤꀕꑧꀕꃅꈌꐚ。
⑥ꀑꊃ头上：ꀂꏾꇬꄜ。ꐉꀕ喜鹊：ꀊꐌꄜ
⑦ꌤꌧ蓬间雀：ꉌꊭꑵ，ꇭꀧꀄꊭ，ꋍꃶꋍꃶꃅꐮꐊꐺ，ꃚꋒꌤꀕꑧꀕꃅꈌꐚ。
ꋍꋒ","ꏃꃅꉬꐮꎭ①／ꏃꃅꉬꐮꎭꒉꇬ去到那下界，
ꐧꐛꈲꐛꇁꄾꄿ②／ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌗꀋꑌꋦꇐꐛꄎꀕ能否成为动植物？
ꐧꐛꈲꐛꇁꂸꄿ③／ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌗꀋꑌꋦꇐꐛꀋꄐ不能成为动植物。
ꐈꇁꌿꁧꌺꇰꒆ④／ꊁꆏꐈꌌꌿꁧꌺꇰꑠꂷꐛ变成松身愚蠢人，
ꋍꋏꊿꑌꂦ／ꌿꁧꌺꇰꆏꋍꋏꄮꇬꊿꇫꑌꂷꒊ生来第一代与坐着的人一样高，
ꑍꋏꊿꉆꂦ／ꑍꋏꄮꇬꆏꊿꇬꉆꑠꂷꒊ到了第二代与站着的人一样高，
ꌕꋊꄯꁍꂤ⑤／ꌕꋊꄮꇬꆏꄮꁧꑠꁧꒊ到了第三代与松树一样高，
ꇖꋊꁦꀑꂦ／ꇖꋊꄮꇬꆏꁦꂷꌋꆀꐯꂤ到了第四代与山峰一样高，
ꉬꋊꂿꃅꑟ／ꉬꋊꑟꄮꇬꆏꂿꃅꇬꑟꀐ到了第五代长到天上去了，
ꉭꇌꊂꉫꇌ／ꑠꃅꄉꇭꀧꉭꇌꉫꇌꅍ身子闪悠悠，
ꐪꑳꊂꐨꑳ／ꎻꄟꐹꄟꐪꑳꐨꑳꅍ行动慢腾腾，
ꉉꆹꊂꉇꆹ／ꈛꎼꈜꈳꐺꇬꉉꆹꉇꆹꅍ走路摇晃晃，
ꑐꊂꌔꑐ／ꌗꅐꄟꇬꌖꑐꌔꑐꅍ呼吸气奄奓，
ꇵꌦꊂꇳꇙ／ꐛꄟꂶꌠꇵꌦꇶꇙꅍ似死又非死，
ꀑꊃꍆꀕꈌ⑥／ꀂꏾꇬꀊꍆꇫꈌ头上住喜鹊，
ꐧꊃꐛꑿꈌ／ꐧꑭꇬꐛꑿꇫꈌ腰间住蜜蜂，
ꅳꁖꌤꌧꈌ⑦／ꅳꁖꇬꉌꊭꌤꌧꇫꈌ鼻孔住着蓬间雀，
①ꏃꃅꉬꐮꋻꁂ中天的下方，下界：ꏃꃅꈐꏭꂿꃅꐮꄜ，ꋌꆏꐧꇁꃰꊿꀀꅉꐤꅉꇬꄜꌠ。
②ꐧ腰间；动物：ꁧꀦꄜꐨꆏ“ꐧꌧ”ꄜ；ꄛꍯꄜꐨꆏ“ꌦꑌꌗꑌꇙꀕ”ꄜꌠ。ꀊꆨꆈꌠꁍꁈꉜꇬ，
ꇙꀕꆹꇙꀕꀉꂿꐧꌧꇬꈴꇁꌠ，ꑠꆹꀊꆨꆈꌠꁍꁇꇙꀕꇁꀦꇬꉜꐨꉬ。ꑠꅹꋌꈚꇬ“ꐧ”ꆏꌦꑌꌗꑌꇙꀕꄜ。ꈲ有
益；植物：ꁧꀦꄜꐨꆏ“ꈲꏣ”“ꈲꒉ”ꄜ；ꄚꇬꆏꄛꍯꄜꐨ“ꌦꀋꑌꌗꀋꑌꋦꇐ”ꄜꌠ。ꀊꆨꆈꌠꁍꁇꉜꇬ，
ꌦꀋꑌꌗꀋꑌꋦꇐꆹꌦꑌꌗꑌꇙꀕꇬꈲꏣꐥꌠ，ꋋꆹꀊꆨꆈꌠꁍꁇꐴꅑꋦꇐꇬꉜꐨꉬ。ꑠꅹꋌꈚꇬ“ꈲ”ꆏꌦꀋꑌꌗ
ꀋꑌꋦꇐꄜ。ꐧꐛꈲꐛ成为动植物：ꌦꑌꌗꑌꇙꀕꌋꆀꌦꀋꑌꌗꀋꑌꋦꇐꐛ。
③ꄚꂴꋋꈨꆏꉬꄚꇳꌅꄰꌦꌺꌊꌺꊩꌺꑠꈨꇤꅷꏃꃅꉬꐮꎭꇬꑌꁍꐛꏃꐛꇁꀋꄐꌠꃆꂮ。
④ꌿꁧꌺꇰ松身愚蠢人：ꉬꆹꌿꁧꉛꇈꐛꆏꊿꌺꇰꂷꃅꐙꑠꂷ。
⑤ꄯꁍ松树：ꄮꁧꄜ。
⑥ꀑꊃ头上：ꀂꏾꇬꄜ。ꍆꀕ喜鹊：ꀊꍆꄜ
⑦ꌤꌧ蓬间雀：ꉌꊭꑵ，ꇭꀧꀄꊭ，ꋍꃶꋍꃶꃅꐮꐊꐺ，ꃚꋒꌤꀕꑧꀕꃅꈌꐚ。
13"
le_e_ma_mu_screen_photo_p030,page,le_e_ma_mu_guide,勒俄玛牧导读教程,real_screen_photo,hard,yi_han,True,201+ chars,13+ lines,0.623693,0.631579,0.631579,0.563536,0.318182,0.666667,False,179,287,243,13,ascii_any,,"ꃄꑃꇖꃱꅜ①／ꃄꅉꋌꑃꇖꄷꅞ
ꉾꑟꊰꑋꑟ②／ꎸꅍꑮꃅꇬꀉꑌꑵꃅꐥ
ꋋꆹꃈꊭꋊ／ꋋꆹꃅꃴꃈꊭꋊꉬꀐ山头塌四方，
铁种有无数，
此为雷电史。
ꉾꑟꊰꑋꑟ②／ꎸꅍꑮꃅꇬꀉꑌꑵꃅꐥ
ꋋꆹꃈꊭꋊ／ꋋꆹꃅꃴꃈꊭꋊꉬꀐ
【ꉪꏢꁱꈩꅍ】
1. “ꃈꊭꋊ”ꋋꊱꌌꈌꈻ。
2.“ꃈꊭꋊ”ꋋꊱꑞꈨꉉꀽꌠꉬ？
1. “ꃈꊭꋊ”ꋋꊱꌌꈌꈻ。
2.“ꃈꊭꋊ”ꋋꊱꑞꈨꉉꀽꌠꉬ？
3.“ꃈꊭꋊ”ꋋꊱꁰꁈꑞꑵꌬ？ꋂ，“ꃈꊭꋊ”ꋋꊱꁰꁈꑞꑵꌬ？
4. “ꉒ”ꂶꌠꄜꐨꌬꐨꉉꎼꇁ。
5. “ꇳꇐꁧꐞ”“ꏤꏦꇂꐟ”“ꅨ5. “ꇳꇐꁧꐞ”“ꏤꏦꇂꐟ”“ꂸꀮꉘꈌ”“ꄂꐎꁧꑎ”ꃅꑠꇿꐛ？
6. “ꃅꃴꃅꇴꌅ”ꆏꑡꉬ？","ꃄꑃꇖꃱꅜ①／ꃄꅉꋌꑃꇖꄷꅞ山头塌四方，
ꉾꑟꊰꑋꑟ②／ꎸꅍꑮꃅꇬꀉꑌꑵꃅꐥ铁种有无数，
ꋋꆹꃈꊭꋊ／ꋋꆹꃅꃴꃈꊭꋊꉬꀐ此为雷电史。
【ꉪꏢꁱꈩꅍ】
1. “ꃈꊭꋊ”ꋋꊱꌌꈌꈻ。
2. “ꃈꊭꋊ”ꋋꊱꑞꈨꉉꀽꌠꉬ？
3. “ꃈꊭꋊ”ꋋꊱꁰꁈꑞꑵꌬ？
4.“ꉒ”ꂶꌠꄜꐨꌬꐨꉉꎼꇁ。
5. “ꇳꇐꁧꐞ”“ꏤꏦꇂꐟ”“ꂸꀮꉘꈌ”“ꄂꐎꁧꑎ”ꃅꑠꇿꐛ？
6. “ꃅꃴꃅꇴꌅ”ꆏꑡꉬ？
①ꇖꃱ四方：ꇖꄷꇖꁁꏯ。ꄚꉎꋋꈨꆏꃈꊭꉮꐪꉉꁱꌠ。
②ꉾꑟ铁种：ꎸꅍꑮ。ꊰꑋꑟ无数种：ꀉꑌꑵꃅꐥꌠꄜ。
10"
modern_yi_course_cover_page_000001,page,modern_yi_course,现代彝语教程,new_print_pdf,medium,yi_han,False,021-060 chars,5-12 lines,0.622642,0.625000,0.625000,0.651515,0.071429,,False,66,106,54,5,ascii_any,cover_candidate_008_modern_yi_course,"ꉙ
ꋯꁻꆏꆾꆏꆉꆳꆉꆳꆾ，
ꀑꀧꆂꆂꆀꆂꆀꆂ，ꇓꃅꋧꆾ
ꏪꏓꆪꆪꆪꆪ
ꀮꑍꆂꆂꆉ高等学校彝语文教材
ꀋꃋꋋꄮꆀꉙꂘꃆ
现代彝语教程
ꀋꃋꋌꄮꆀꉙꂘꃆ
四川出版集团
四川民族出版社ꌧꍧꉻꏑꄯꒉꅏꅉ
ꌧꍧꊿꋅꄯꒉꅏꅉ","高等彝语文教材
ꀋꃋꋋꄮꆀꉙꂘꃆ
现代彝语教程
四川出版集团ꌧꍧꉻꏒꄯꒉꅏꅉ
四川民族出版社ꌧꍧꊿꋅꄯꒉꅏꅉ"
