source_name,source_code,rows,avg_ned,avg_ws_ned,avg_nfkc_ws_ned,exact,exact_rate,yi_ned,yi_exact_rate,yi_rows,han_ned,han_exact_rate,han_rows,digit_ned,digit_exact_rate,digit_rows,replacement,latex,extra_ascii_letter,long_pred,avg_pred_len,avg_label_len
凉山彝文资料选译第3集,xuan_yi_3_extra,123,0.012445,0.012445,0.012445,113,0.918699,0.014237,0.934959,123,0.005556,0.964286,56,,,0,0,0,0,0,9.495935,9.495935
凉山彝文资料选译第3集,xuan_yi_3,111,0.045551,0.044846,0.044846,82,0.738739,0.037761,0.783784,111,0.028944,0.918605,86,0.000000,1.000000,2,0,0,0,0,24.090090,23.963964
越西彝族民间歌谣 彝文版,yuexi_folk_songs,82,0.024767,0.024860,0.024860,66,0.804878,0.030916,0.804878,82,,,0,0.000000,1.000000,1,0,0,0,0,11.939024,11.829268
凉山彝文资料选译第2集,xuan_yi_2,76,0.040754,0.038837,0.038837,57,0.750000,0.041423,0.789474,76,0.012539,0.903226,62,,,0,0,0,0,1,34.328947,20.421053
勒俄玛牧导读教程,le_e_ma_mu_guide,66,0.118279,0.114375,0.114294,1,0.015152,0.094700,0.015152,66,0.086760,0.187500,64,0.118327,0.508197,61,0,8,0,0,556.393939,550.727273
雪族 子史篇,xuezu_zishi,65,0.047213,0.047651,0.046997,1,0.015385,0.061852,0.203125,64,0.043870,0.046154,65,0.258254,0.600000,60,0,0,1,0,283.692308,283.046154
规范手写,handwriting,53,0.122555,0.130483,0.130483,7,0.132075,0.146028,0.132075,53,1.000000,0.000000,2,1.000000,0.000000,1,0,0,0,0,42.905660,42.905660
《勒俄特依》译注,luoe_teyi,46,0.048062,0.044616,0.042805,37,0.804348,0.037971,0.891304,46,0.044643,0.857143,7,0.481481,0.444444,9,0,1,0,0,8.869565,8.282609
根与花,gen_yu_hua,43,0.049468,0.048123,0.046606,26,0.604651,0.044595,0.651163,43,,,0,0.142857,0.857143,21,0,0,0,0,80.302326,78.325581
凉山彝语语法,liangshan_yi_grammar,31,0.021747,0.019664,0.021791,26,0.838710,0.026786,0.935484,31,0.004921,0.933333,30,0.000000,1.000000,27,0,0,0,0,17.000000,17.419355
彝文检字本,yi_dictionary,31,0.050853,0.044575,0.044575,18,0.580645,0.068423,0.709677,31,0.025000,0.950000,20,0.666667,0.333333,3,0,0,0,0,14.516129,14.580645
屏幕拍照文本,real_screen_photo_nonbook,11,0.069382,0.066337,0.071207,1,0.090909,0.070549,0.363636,11,0.014141,0.800000,5,,,0,0,0,0,0,192.000000,194.181818
实拍标牌照片,real_sign_direct_20260624,7,0.000000,0.000000,0.000000,7,1.000000,0.000000,1.000000,7,0.000000,1.000000,7,,,0,0,0,0,0,22.142857,22.142857
真实照片,real_photo,3,0.041667,0.043478,0.043478,2,0.666667,0.052632,0.666667,3,0.000000,1.000000,1,,,0,0,0,0,0,14.333333,14.333333
凉山彝文资料选译第1集,xuan_yi_1,1,0.227273,0.234568,0.234568,0,0.000000,0.285714,0.000000,1,0.300000,0.000000,1,,,0,0,0,0,0,88.000000,84.000000
四川彝族家支问题：论文集,sichuan_yi_clan_papers,1,0.394366,0.384615,0.384615,0,0.000000,0.647059,0.000000,1,0.034483,0.000000,1,,,0,0,0,0,0,71.000000,49.000000
大学彝语文：彝文,college_yi_language,1,0.737500,0.753247,0.753247,0,0.000000,0.805556,0.000000,1,0.000000,1.000000,1,,,0,0,0,0,0,80.000000,22.000000
实拍电梯标识,real_photo_elevator_sign_9030,1,0.000000,0.000000,0.000000,1,1.000000,0.000000,1.000000,1,0.000000,1.000000,1,,,0,0,0,0,0,34.000000,34.000000
彝族语言文字论文选,yi_language_papers,1,0.030769,0.034483,0.034483,0,0.000000,0.060606,0.000000,1,0.000000,1.000000,1,,,0,0,0,0,0,65.000000,64.000000
彝语语法（诺苏话）,nuosu_yi_grammar,1,0.031250,0.035714,0.035714,0,0.000000,0.250000,0.000000,1,0.000000,1.000000,1,,,0,0,0,0,0,32.000000,32.000000
汉彝成语词典,han_yi_idiom_dictionary,1,0.181818,0.200000,0.200000,0,0.000000,0.285714,0.000000,1,0.000000,1.000000,1,,,0,0,0,0,0,22.000000,22.000000
猎村的歌声彝文版,liecun_song_yi,1,0.875000,0.937500,0.937500,0,0.000000,1.000000,0.000000,1,,,0,,,0,0,0,0,0,24.000000,16.000000
现代凉山彝语语法,modern_liangshan_yi_grammar,1,0.027778,0.030303,0.030303,0,0.000000,0.000000,1.000000,1,0.043478,0.000000,1,,,0,0,0,0,0,36.000000,36.000000
现代彝语教程,modern_yi_course,1,0.582677,0.598361,0.598361,0,0.000000,0.752688,0.000000,1,0.071429,0.000000,1,,,0,0,0,0,0,127.000000,54.000000
