codepoint,char,unicode_name,romanization
U+A000,ꀀ,Yi Syllable It,it
U+A001,ꀁ,Yi Syllable Ix,ix
U+A002,ꀂ,Yi Syllable I,i
U+A003,ꀃ,Yi Syllable Ip,ip
U+A004,ꀄ,Yi Syllable Iet,iet
U+A005,ꀅ,Yi Syllable Iex,iex
U+A006,ꀆ,Yi Syllable Ie,ie
U+A007,ꀇ,Yi Syllable Iep,iep
U+A008,ꀈ,Yi Syllable At,at
U+A009,ꀉ,Yi Syllable Ax,ax
U+A00A,ꀊ,Yi Syllable A,a
U+A00B,ꀋ,Yi Syllable Ap,ap
U+A00C,ꀌ,Yi Syllable Uox,uox
U+A00D,ꀍ,Yi Syllable Uo,uo
U+A00E,ꀎ,Yi Syllable Uop,uop
U+A00F,ꀏ,Yi Syllable Ot,ot
U+A010,ꀐ,Yi Syllable Ox,ox
U+A011,ꀑ,Yi Syllable O,o
U+A012,ꀒ,Yi Syllable Op,op
U+A013,ꀓ,Yi Syllable Ex,ex
U+A014,ꀔ,Yi Syllable E,e
U+A015,ꀕ,Yi Syllable Wu,wu
U+A016,ꀖ,Yi Syllable Bit,bit
U+A017,ꀗ,Yi Syllable Bix,bix
U+A018,ꀘ,Yi Syllable Bi,bi
U+A019,ꀙ,Yi Syllable Bip,bip
U+A01A,ꀚ,Yi Syllable Biet,biet
U+A01B,ꀛ,Yi Syllable Biex,biex
U+A01C,ꀜ,Yi Syllable Bie,bie
U+A01D,ꀝ,Yi Syllable Biep,biep
U+A01E,ꀞ,Yi Syllable Bat,bat
U+A01F,ꀟ,Yi Syllable Bax,bax
U+A020,ꀠ,Yi Syllable Ba,ba
U+A021,ꀡ,Yi Syllable Bap,bap
U+A022,ꀢ,Yi Syllable Buox,buox
U+A023,ꀣ,Yi Syllable Buo,buo
U+A024,ꀤ,Yi Syllable Buop,buop
U+A025,ꀥ,Yi Syllable Bot,bot
U+A026,ꀦ,Yi Syllable Box,box
U+A027,ꀧ,Yi Syllable Bo,bo
U+A028,ꀨ,Yi Syllable Bop,bop
U+A029,ꀩ,Yi Syllable Bex,bex
U+A02A,ꀪ,Yi Syllable Be,be
U+A02B,ꀫ,Yi Syllable Bep,bep
U+A02C,ꀬ,Yi Syllable But,but
U+A02D,ꀭ,Yi Syllable Bux,bux
U+A02E,ꀮ,Yi Syllable Bu,bu
U+A02F,ꀯ,Yi Syllable Bup,bup
U+A030,ꀰ,Yi Syllable Burx,burx
U+A031,ꀱ,Yi Syllable Bur,bur
